"","id","study","group","fitness","trait","optimum","sd","optimumtest","samplesize","linear","linear.se","linear.95CI.l","linear.95CI.u","linear.effsamp","linear.pMCMC","quadratic","quadratic.se","quadratic.95CI.l","quadratic.95CI.u","quadratic.effsamp","quadratic.pMCMC"
"185",15,"Ensing, Sora and Eckert (2021)","2014; T1-ML","survival to fruiting","gdd.fl.to.mat",-1.69786549816501,0.125625698518069,1,2361,-0.0628884598658949,0.00160811234016578,-0.066950797336176,-0.0596965999720851,9.83512493083096,0.001,-0.0187771638415935,0.00118928103444874,-0.0219607899343828,-0.0169812116291723,4.37319444128168,0.001
"186",15,"Ensing, Sora and Eckert (2021)","2014; T1-ML","survival to fruiting","gdd.to.mat",0.547541311639127,6.95028030027555,0.958,2361,0.0100108847123663,0.0193089617625962,-0.0269277679180959,0.0413221416965825,4.71448799848815,0.55,-0.0163268996444337,0.0176440094888417,-0.0466217328539642,0.0168594418446446,4.15250323668658,0.318
"187",15,"Ensing, Sora and Eckert (2021)","2014; T2-H","survival to fruiting","gdd.to.emerge",-0.54402012203656,2.11059126057392,0.976,1546,9011.75258555076,22245.9989218648,-2031.89919628993,69855.9053861944,9.487821193779,0.042,11688.6197604256,27907.847527585,-116.367262520274,81892.0132393845,5.91478078037571,0.004
"188",15,"Ensing, Sora and Eckert (2021)","2014; T2-H","survival to fruiting","gdd.emerge.to.fl",0.50010621885647,7.19453666591354,0.906,2340,1556.5184539615,4486.94653142564,-4772.48437440579,12096.7513112604,15.0047548124434,0.414,-1243.76293736092,2924.22298248278,-8101.57479873193,1965.5873872018,12.8979176544326,0.26
"189",15,"Ensing, Sora and Eckert (2021)","2014; T2-H","survival to fruiting","gdd.to.fl",-0.120269806226025,0.253634657049519,1,4300,0.593785857275052,1.66848487660228,-2.47033611675033,3.89459629444173,50.3091888208173,0.56,2.47890064485784,2.98159254795734,0.0384261231492928,9.30712480590591,4.62184892149391,0.001
"190",15,"Ensing, Sora and Eckert (2021)","2014; T2-H","survival to fruiting","gdd.fl.to.mat",-3.89145395506945,461.407571877075,0.093,2361,0.0110360465204485,0.00964057573299119,0.00311392846924718,0.0321622582268901,1.35622825369273,0.001,5.5402142329477e-05,0.00127917142581417,-0.00319404791662237,0.00262824256788008,5.07492763281706,0.798
"191",15,"Ensing, Sora and Eckert (2021)","2014; T2-H","survival to fruiting","gdd.to.mat",-0.478589662841464,18.8194812257105,0.899,2361,-0.0337471404296269,0.0102828981217417,-0.055341658051475,-0.0136627242100076,10.2246459903929,0.001,-0.0312834254520786,0.0161170775056503,-0.052514150411298,0.00256034615449607,3.22373916477762,0.176
"192",15,"Ensing, Sora and Eckert (2021)","2014; T2-L","survival to fruiting","gdd.to.emerge",-0.531646948064174,1.21309520264528,0.982,1546,317.691643657016,751.259101949149,-36.0685058240779,2300.4905092797,5.64772145788731,0.038,318.685470656649,713.709045308859,-0.944816896051634,2055.2050473709,3.95131499926958,0.00800000000000001
"193",15,"Ensing, Sora and Eckert (2021)","2014; T2-L","survival to fruiting","gdd.emerge.to.fl",0.495781386193854,20.547685847937,0.892,2340,229.775812126187,736.419480902615,-445.973224312809,2449.44109763732,20.2419273235352,0.414,-212.192111714012,549.519791456792,-1506.74618837205,384.433309184928,7.16275502411556,0.256
"194",15,"Ensing, Sora and Eckert (2021)","2014; T2-L","survival to fruiting","gdd.to.fl",-0.117096189915649,0.323272167475854,0.998,4300,0.456720094873296,1.79199273003571,-2.6711799143668,4.83421793561138,138.744469744383,0.57,2.36276760500134,3.49956175325491,0.0785432013944956,10.7588209744426,2.57949449923157,0.001
"195",15,"Ensing, Sora and Eckert (2021)","2014; T2-L","survival to fruiting","gdd.fl.to.mat",-0.162773847029598,0.512679426226566,1,2361,-0.0262730415388547,0.0853036423408658,-0.183397849235917,0.159091565787094,3.32246253576534,0.44,-0.115081657236938,0.0227279920710155,-0.142282803659327,-0.0708038397424389,3.71736131715274,0.001
"196",15,"Ensing, Sora and Eckert (2021)","2014; T2-L","survival to fruiting","gdd.to.mat",0.379180481413093,0.365044527439509,0.998,2361,-0.0160495390326893,0.00581833712581196,-0.0328957746096421,-0.00874573406690615,7.21175792937713,0.001,0.0179528989716738,0.0046793441431906,0.0104284742719756,0.0255194446654059,6.25125861333006,0.001
"197",15,"Ensing, Sora and Eckert (2021)","2014; T2-MH","survival to fruiting","gdd.to.emerge",-0.469752331638426,107.158432570539,0.975,1546,31367.7653766185,36177.2414525028,-589.880860131336,111727.070968294,3.84990943024157,0.038,36307.1405418766,39828.7689204872,-306.620700225292,115006.971851416,2.62429477828045,0.014
