Ind_ID,Flower_ID,Stamen_number_func,Stamen_removal,Petal_length,Stalk_height,Flowering_date,Pistil_number,Total_typed_seed,Total_selfed_seed,Mature_seed_number,Relative_RS,Inbreeding_depression,Mature_seed_number_S,Relative_RS_S
594,594_1,0,SR100,2.61,33,168,112,10,0,92,1.687557219,0.95,92,1.633136191
597,597_1,173,Intact,2.75,36,153,243,14,14,6,0.110058079,0.95,15.96,0.195266284
801,801_1,180,Intact,2.99,46,163,227,13,0,94,1.724243245,0.95,94,1.668639152
802,802_1,85,SR50,2.65,51,157,283,11,1,48,0.880464636,0.95,47.93454545,0.852071056
804,804_1,127,Intact,2.6,35,157,249,13,3,97,1.779272285,0.95,99.39076921,1.739645073
808,808_1,216,Intact,2.76,43,161,245,9,3,64,1.173952848,0.95,67.05333336,1.171597702
813,813_1,88,SR50,2.76,52,163,382,11,0,101,1.852644338,0.95,101,1.792899514
817,817_1,228,Intact,2.68,41,168,352,10,1,136,2.494649802,0.95,137.1,2.431952807
820,820_1,76,SR50,3.1,40,155,170,13,0,67,1.228981888,0.95,67,1.189349183
825,825_1,80,SR50,2.53,41,165,224,12,8,34,0.62366245,0.95,40.10666664,0.674556253
827,827_1,151,Intact,3.08,40,163,296,14,7,99,1.815958311,0.95,107.73,1.846153955
830,830_1,173,Intact,3.59,50,155,304,10,10,2,0.036686026,0.95,4.2,0.053254441
843,843_2,151,Intact,2.75,35,163,86,9,2,19,0.348517252,0.95,19.41333334,0.337278126
103s,103s_1,195,Intact,2.76,40,155,260,14,11,16,0.293488212,0.95,20.10571427,0.319526646
