id,fr_set,n_seed,fitness,prop_seed_preyed,year,var,skew,kurt,avFD_v,n_fl_std,avFD_std,var_std,skew_std,kurt_std,fitness_rel,n_fl,n_mat_intact_fr,prop_seeds_escpred,n_fl_log,n_fl_log_std,npr_seeds,pr_seeds
1:29,0,0,0,NA,1987,0.43389686,-0.5381993695899122,2.0654783878864187,68.0036,-0.6419338887557624,-0.6119489273835426,-0.3760683709480549,-1.3720191269382138,-0.23705137782325447,0,4,0,NA,1.3862943611198906,-0.6101284293024175,0,0
1:30,0,0,0,NA,1987,0,NA,NA,72.7504,-0.7920216704385368,0.48744300095422455,-1.129567615474595,NA,NA,0,3,0,NA,1.0986122886681098,-0.995024503204607,0,0
1:31,0,0,0,NA,1987,0.468183416666667,0,1.5852457611981934,73.8994,-0.6419338887557624,0.7535594005624017,-0.3165268141233524,-0.5622920287006083,-0.6765101663742297,0,4,0,NA,1.3862943611198906,-0.6101284293024175,0,0
1:35,0,0,0,NA,1987,0.418534718095238,-0.26176573682089155,1.5593300595229134,68.27754285714286,-0.19167054370743913,-0.54850185441467,-0.4027460526430726,-0.9561215693325752,-0.7002255122914925,0,7,0,NA,1.9459101490553132,0.13859365071571503,0,0
1:37,0,0,0,NA,1987,0.125,NA,NA,71.7504,-0.9421094521213113,0.2558360387190836,-0.9124943562539188,NA,NA,0,2,0,NA,0.6931471805599453,-1.537505050863055,0,0
1:38,0.2,4,4,0,1987,0.7253950030000003,-0.03433999118751683,1.7040509411078195,72.80503999999999,-0.491846107072988,0.5000980053707524,0.1301432447142239,-0.6139569376338168,-0.567792062823634,0.6342708213272642,5,1,1,1.6094379124341003,-0.3115798402803232,4,0
1:42,0.4,7,7,0,1987,0.20051249799999993,0.4686591854243303,1.982966699489896,68.09216,-0.491846107072988,-0.5914378148079982,-0.7813604038318804,0.14281106825247267,-0.3125574651003532,1.1099739373227124,5,2,1,1.6094379124341003,-0.3115798402803232,7,0
1:102,0,0,0,NA,1987,0.689961251944444,1.0278432671670057,3.0453839818231345,77.99471111111112,0.10850501965810971,1.702061966414666,0.06860948608987448,0.9841099055869774,0.6596559703955571,0,9,0,NA,2.1972245773362196,0.4748326660144782,0,0
1:44,0,0,0,NA,1987,0.5365125824242424,0.16789104219731735,2.0648460353032663,68.17026666666666,0.558768364706433,-0.5733477670110187,-0.1978673364367386,-0.30969803825779735,-0.23763004092252293,0,12,0,NA,2.4849066497880004,0.8597287399166677,0,0
1:46,0.5714285714285714,23,23,0,1987,1.4576472100000002,0.6286851196806987,1.819386057743028,67.4088,-0.19167054370743913,-0.7497087485210042,1.4017622298744108,0.3835719139719764,-0.4622493990870455,3.6470572226317697,7,4,1,1.9459101490553132,0.13859365071571503,23,0
1:100,0.2857142857142857,24,24,0,1987,2.2353584406593403,0.47397212803693234,2.474670818491629,72.63291428571429,0.8589439280719818,0.4602324915624847,2.75232472244838,0.15080445109140678,0.13739883618675436,3.8056249279635854,14,4,1,2.6390573296152584,1.0659702722763522,24,0
